,City,Country,Date,Lat,Lon,Max Temp,Cloudiness,Wind Speed,Humidity
87,hambantota,LK,1586652788,6.12,81.12,26.76,20,3.92,81
88,east london,ZA,1586652369,-33.02,27.91,23.19,85,0.86,67
89,ogulin,HR,1586652789,45.27,15.23,13.05,11,1.34,69
90,dikson,RU,1586652478,73.51,80.55,-10.0,100,6.48,96
91,ormara,PK,1586652790,25.21,64.64,24.3,28,1.68,74
92,alofi,NU,1586652468,-19.06,-169.92,29.0,98,5.1,66
93,port moresby,PG,1586652507,-9.44,147.18,30.0,40,2.6,70
94,nemuro,JP,1586652792,43.32,145.57,3.0,75,2.6,55
95,ambon,ID,1586652792,-3.7,128.18,31.0,40,2.6,70
96,castro,BR,1586652193,-24.79,-50.01,13.41,15,2.03,72
97,tsagan aman,RU,1586652794,47.56,46.72,4.78,40,6.8,70
98,beyneu,KZ,1586652422,45.32,55.2,9.45,21,1.66,50
99,bluff,NZ,1586652416,-46.6,168.33,16.5,82,6.09,58
100,new norfolk,AU,1586652453,-42.78,147.06,12.4,75,8.2,54
101,chimbote,PE,1586652797,-9.09,-78.58,23.47,14,3.9,74
102,ekibastuz,KZ,1586652797,51.67,75.37,5.26,98,4.55,60
103,arraial do cabo,BR,1586652260,-22.97,-42.03,22.91,99,2.02,73
104,saint george,US,1586652146,37.1,-113.58,18.87,1,7.2,28
105,chuy,UY,1586652491,-33.7,-53.46,16.86,17,2.87,76
106,youkounkoun,GN,1586652800,12.53,-13.13,29.37,43,5.02,46
107,biak,ID,1586652686,-0.91,122.88,27.25,38,1.24,68
108,garowe,SO,1586652503,8.41,48.48,24.45,8,5.02,66
109,ilulissat,GL,1586652440,69.22,-51.1,-2.0,95,4.1,68
110,okakarara,NA,1586652802,-20.58,17.43,18.7,58,2.06,45
111,sibolga,ID,1586652498,1.74,98.78,26.12,96,1.47,77
112,pacifica,US,1586652804,37.61,-122.49,14.33,90,3.1,87
113,palu,ID,1586652729,-0.89,119.87,26.66,6,0.64,65
114,provideniya,RU,1586652427,64.38,-173.3,0.45,100,3.09,92
115,erzin,TR,1586652805,36.96,36.2,14.25,20,3.1,82
116,kopervik,NO,1586652806,59.28,5.31,6.45,81,6.2,93
117,avera,US,1586652501,33.19,-82.53,17.47,1,1.95,51
118,dandong,CN,1586652808,40.13,124.39,11.29,4,2.08,43
119,karlshamn,SE,1586652808,56.17,14.86,7.27,100,3.6,87
120,upernavik,GL,1586652420,72.79,-56.15,-7.03,100,0.78,88
121,deputatskiy,RU,1586652809,69.3,139.9,-4.12,76,6.84,92
122,lebu,CL,1586652502,-37.62,-73.65,11.95,0,6.75,70
123,belyy yar,RU,1586652810,53.6,91.39,-2.0,0,2.0,86
124,nampa,US,1586652811,43.54,-116.56,14.96,1,11.3,23
125,axim,GH,1586652812,4.87,-2.24,27.12,92,1.89,84
126,sao gabriel da cachoeira,BR,1586652813,-0.13,-67.09,24.16,100,2.07,94
127,kiama,AU,1586652814,-34.68,150.87,17.85,0,5.7,39
128,sola,VU,1586652814,-13.88,167.55,31.0,75,5.61,74
129,najran,SA,1586652436,17.49,44.13,28.0,40,3.1,30
130,kruisfontein,ZA,1586652538,-34.0,24.73,16.31,95,2.67,54
131,santo tomas,PH,1586652816,14.11,121.14,29.84,90,0.95,66
132,riyadh,SA,1586652773,24.69,46.72,23.0,40,3.1,27
133,lorengau,PG,1586652452,-2.02,147.27,29.53,44,1.37,68
134,cherskiy,RU,1586652463,68.75,161.3,-7.13,96,6.35,96
135,severo-kurilsk,RU,1586652404,50.68,156.12,-0.72,63,3.75,93
136,chernyshevskiy,RU,1586652819,63.01,112.47,-3.47,77,3.73,94
137,bambous virieux,MU,1586652279,-20.34,57.76,25.56,24,4.47,77
138,nizip,TR,1586652625,37.01,37.79,11.0,0,1.0,50
139,esperance,AU,1586652438,-33.87,121.9,24.0,100,8.7,50
140,boo,SE,1586652821,59.33,18.28,5.49,100,3.6,87
141,pasighat,IN,1586652822,28.07,95.33,20.34,3,1.53,46
142,qaanaaq,GL,1586652407,77.48,-69.36,-11.22,88,1.45,72
143,juan lacaze,UY,1586652823,-34.43,-57.44,15.56,14,5.07,73
144,emerald,AU,1586652823,-23.53,148.17,29.0,0,6.2,20
145,bethel,US,1586652271,41.37,-73.41,7.73,1,2.6,31
146,hasaki,JP,1586652491,35.73,140.83,11.05,75,4.6,81
147,yuzhno-sukhokumsk,RU,1586652825,44.66,45.64,7.57,72,4.13,59
148,solnechnyy,RU,1586652825,50.72,136.63,6.49,22,2.31,53
149,klaksvik,FO,1586652485,62.23,-6.59,4.0,100,13.4,86
150,salinopolis,BR,1586652828,-0.61,-47.36,27.7,90,4.44,82
151,labuhan,ID,1586652635,-6.88,112.21,26.45,33,1.98,80
152,miri,MY,1586652829,4.41,114.01,27.89,75,1.0,94
153,sayansk,RU,1586652708,54.11,102.16,-0.34,57,2.81,76
154,manaure,CO,1586652435,11.78,-72.44,28.87,81,9.18,68
155,mar del plata,AR,1586652448,-38.0,-57.56,15.12,69,2.87,82
156,cape town,ZA,1586652367,-33.93,18.42,17.53,75,9.8,93
157,marrakesh,MA,1586652832,31.63,-8.01,16.0,40,2.6,72
158,longyearbyen,SJ,1586652472,78.22,15.64,-22.0,20,2.6,69
159,tuktoyaktuk,CA,1586652433,69.45,-133.04,-14.0,20,4.6,84
160,hede,CN,1586652833,33.77,120.25,9.67,9,4.94,59
161,namibe,AO,1586652495,-15.2,12.15,25.14,10,1.65,62
162,makakilo city,US,1586652756,21.35,-158.09,27.34,20,5.7,58
163,birin,NP,1586652835,26.89,88.07,13.87,73,1.25,30
164,jalu,LY,1586652526,29.03,21.55,15.64,37,3.94,48
165,hithadhoo,MV,1586652157,-0.6,73.08,29.09,5,3.94,67
166,rusera,IN,1586652837,25.75,86.03,24.15,40,2.47,25
167,yulara,AU,1586652490,-25.24,130.99,27.0,100,4.6,24
168,nanortalik,GL,1586652531,60.14,-45.24,2.6,100,14.58,76
169,namatanai,PG,1586652553,-3.67,152.43,28.75,100,0.8,73
170,kodiak,US,1586652130,57.79,-152.41,5.0,90,8.7,80
171,kamenka,RU,1586652839,51.32,42.77,0.0,70,6.62,85
172,bengkulu,ID,1586652257,-3.8,102.27,26.31,72,2.45,81
173,brownwood,US,1586652676,31.71,-98.99,22.25,1,5.7,73
174,sabang,ID,1586652841,5.89,95.32,28.56,34,3.27,74
175,acapulco,MX,1586652320,16.86,-99.89,28.0,75,3.6,78
176,ratnapura,LK,1586652842,6.68,80.4,23.88,1,0.92,79
177,tonantins,BR,1586652419,-2.87,-67.8,24.51,100,1.5,93
178,aklavik,CA,1586652542,68.22,-135.01,-6.0,5,3.1,53
179,vostok,RU,1586652427,46.49,135.88,3.09,23,2.0,51
180,torbay,CA,1586652452,47.67,-52.73,1.15,90,10.8,74
181,brumadinho,BR,1586652845,-20.14,-44.2,22.73,8,2.6,73
182,chandbali,IN,1586652845,20.78,86.77,25.64,1,4.68,92
183,holme,DK,1586652846,56.11,10.17,7.98,100,1.5,76
184,baculin,PH,1586652846,7.45,126.58,27.56,28,1.96,66
185,aldan,RU,1586652847,58.6,125.39,0.46,100,1.7,77
186,naze,JP,1586652522,28.37,129.48,20.0,75,4.1,88
187,arlington,US,1586652618,32.74,-97.11,18.38,75,3.1,82
188,itaituba,BR,1586652850,-4.28,-55.98,24.1,79,0.32,94
189,narsaq,GL,1586652551,60.92,-46.05,5.0,100,20.6,48
190,kampong chhnang,KH,1586652851,12.17,104.55,26.45,33,3.44,80
191,rorvik,NO,1586652437,64.86,11.24,2.47,100,8.18,92
192,puerto del rosario,ES,1586652265,28.5,-13.86,18.0,27,4.6,72
193,manado,ID,1586652853,1.49,124.85,29.0,40,1.5,74
194,north bay,CA,1586652853,46.32,-79.47,2.86,20,4.1,55
195,richards bay,ZA,1586652473,-28.78,32.04,21.93,49,6.46,81
196,loa janan,ID,1586652854,-0.58,117.09,26.03,90,1.36,81
197,gizo,SB,1586652855,-8.1,156.84,30.45,90,1.85,68
198,tanhacu,BR,1586652856,-14.02,-41.25,23.44,97,1.37,80
199,chokurdakh,RU,1586652368,70.63,147.92,-1.6,99,6.02,98
200,sambava,MG,1586652452,-14.27,50.17,23.89,10,4.25,83
201,huazhou,CN,1586652858,21.63,110.58,17.15,49,5.29,71
202,san pedro de macoris,DO,1586652821,18.46,-69.3,26.2,20,2.04,83
203,anaco,VE,1586652585,9.44,-64.47,29.94,79,2.82,35
204,sargatskoye,RU,1586652859,55.61,73.5,4.13,32,2.54,71
205,norwich,GB,1586652711,52.63,1.3,10.77,51,2.1,66
206,killin,US,1586652860,33.61,-91.74,16.6,90,2.1,72
207,atar,MR,1586652228,20.52,-13.05,27.07,0,3.94,19
208,burnie,AU,1586652862,-41.07,145.92,11.11,45,4.92,64
209,rock sound,BS,1586652863,24.9,-76.2,24.32,50,8.02,86
210,luderitz,NA,1586652540,-26.65,15.16,14.0,0,2.1,87
211,peace river,CA,1586652864,56.25,-117.29,0.0,75,3.6,77
212,diplo,PK,1586652865,24.47,69.58,26.73,89,5.04,40
213,takoradi,GH,1586652487,4.88,-1.76,26.85,46,2.18,86
214,lavrentiya,RU,1586652440,65.58,-171.0,0.24,95,5.57,96
215,tadine,NC,1586652866,-21.55,167.88,26.87,7,4.22,60
216,sioux lookout,CA,1586652429,50.1,-91.92,0.64,75,5.7,59
217,hammerfest,NO,1586652868,70.66,23.68,-2.0,100,2.1,86
218,belaya gora,RU,1586652415,68.53,146.42,-1.91,100,4.45,94
219,gornopravdinsk,RU,1586652869,60.05,69.9,0.47,6,1.95,93
220,shubarkuduk,KZ,1586652869,49.14,56.49,4.44,0,3.95,64
221,port elizabeth,ZA,1586652487,-33.92,25.57,20.0,78,3.1,49
222,kihei,US,1586652392,20.79,-156.47,26.15,20,7.7,58
223,villa carlos paz,AR,1586652871,-31.42,-64.5,18.27,56,3.6,63
224,iqaluit,CA,1586652443,63.75,-68.51,-4.23,90,4.1,73
225,ostrovnoy,RU,1586652406,68.05,39.51,-9.64,23,5.14,93
226,omboue,GA,1586652855,-1.57,9.26,24.81,100,5.63,92
227,grimshaw,CA,1586652874,56.18,-117.6,0.22,75,3.6,76
228,codrington,AU,1586652875,-38.27,141.97,13.17,95,4.4,62
229,saint-georges,GD,1586652368,12.06,-61.75,25.95,17,7.27,78
230,siguiri,GN,1586652876,11.67,-9.5,28.2,91,1.12,49
231,shingu,JP,1586652876,33.73,135.98,12.0,75,2.1,71
232,hobyo,SO,1586652428,5.35,48.53,27.76,4,4.96,75
233,shirvan,AZ,1586652878,39.95,48.9,8.95,26,1.12,83
234,yarkovo,RU,1586652879,57.4,67.08,2.33,71,2.02,87
235,lerwick,GB,1586652880,60.15,-1.15,7.5,100,11.8,81
236,harvard,US,1586652880,42.42,-88.61,9.87,90,2.6,100
237,maloy,NO,1586652881,61.94,5.11,7.26,100,10.3,93
238,broome,US,1586652476,42.25,-75.83,2.96,1,3.6,44
239,adrar,MR,1586652501,20.5,-10.07,26.93,0,4.88,17
240,petropavlovsk-kamchatskiy,RU,1586652762,53.05,158.65,3.0,20,3.0,51
241,olavarria,AR,1586652883,-36.89,-60.32,17.22,97,2.27,67
242,catuday,PH,1586652884,16.29,119.81,27.09,9,2.94,68
243,neuquen,AR,1586652885,-38.95,-68.06,13.0,33,3.45,71
244,yellowknife,CA,1586652405,62.46,-114.35,-7.11,40,7.2,52
